date,state,npa_plz,latitude,longitude,total_healthy,total_sick_guess_no_corona,total_sick_guess_corona,total_sick_corona_confirmed,total_recovered
2020-03-25,ZH,8004,47.3828,8.53081,2,0,0,0,0
2020-03-25,VD,1072,46.5379,6.76285,1,0,1,0,0
2020-03-25,JU,2942,47.4284,7.12625,1,0,0,0,0
2020-03-25,VD,1007,46.5196,6.63233,15,0,3,0,0
2020-03-25,VD,1022,46.528,6.57367,2,0,0,0,1
2020-03-25,VS,3960,46.2783,7.51565,2,0,0,0,0
2020-03-25,JU,2902,47.3877,7.07682,1,0,0,0,0
2020-03-25,VD,1008,46.5389,6.60497,10,0,0,0,0
2020-03-25,VD,1027,46.5299,6.51693,1,0,0,0,0
2020-03-25,VD,1806,46.464,6.88208,1,0,0,0,0
2020-03-25,GE,1234,46.172,6.15828,1,0,0,0,0
2020-03-25,VD,1041,46.6123,6.69362,1,0,0,0,0
2020-03-25,VD,1196,46.4198,6.27291,1,0,0,0,0
2020-03-25,GE,1226,46.1961,6.20442,3,1,0,0,0
2020-03-25,VD,1093,46.5133,6.67741,1,0,0,0,0
2020-03-25,VD,1026,46.5194,6.5338,2,0,0,0,0
2020-03-25,BE,3006,46.9452,7.46987,2,0,0,0,0
2020-03-25,VD,1422,46.8146,6.64445,1,0,0,0,0
2020-03-25,VD,1844,46.4038,6.96895,2,0,0,0,0
2020-03-25,VD,1373,46.7065,6.56894,3,0,0,0,0
2020-03-25,VD,1170,46.4906,6.38512,0,0,0,1,0
2020-03-25,VD,1400,46.7743,6.63711,10,1,0,0,0
2020-03-25,VS,1936,46.1001,7.22528,0,0,1,0,0
2020-03-25,VD,1323,46.6847,6.46105,1,0,0,0,0
2020-03-25,GE,1290,46.2915,6.14541,2,1,1,0,0
2020-03-25,VD,1033,46.5781,6.59439,2,0,0,0,0
2020-03-25,VS,1893,46.2791,6.92632,1,0,0,0,0
2020-03-25,FR,1752,46.7944,7.12514,3,0,1,0,0
2020-03-25,GE,1214,46.2107,6.09444,1,0,0,0,0
2020-03-25,VD,1441,46.7981,6.6039,1,0,0,0,0
2020-03-25,GE,1284,46.1481,5.97986,3,0,1,0,0
2020-03-25,VD,1350,46.727,6.54304,0,0,1,0,0
2020-03-25,VD,1112,46.5269,6.4934,1,0,0,0,0
2020-03-25,TI,6872,45.8722,8.99375,1,0,0,0,0
2020-03-25,GE,1233,46.1785,6.06815,3,0,0,0,0
2020-03-25,GE,1247,46.2747,6.23305,2,0,0,0,0
2020-03-25,VS,1974,46.2986,7.37556,2,0,0,0,0
2020-03-25,GE,1203,46.2058,6.14139,5,1,0,0,0
2020-03-25,VD,1885,46.2992,7.05585,1,0,0,0,0
2020-03-25,VD,1820,46.4518,6.94079,2,0,0,0,0
2020-03-25,GE,1252,46.243,6.23493,1,0,0,0,0
2020-03-25,VD,1002,46.5196,6.63233,1,0,0,0,0
2020-03-25,GE,1208,46.2084,6.1427,3,0,1,0,0
2020-03-25,VD,1125,46.5319,6.47459,0,0,0,1,0
2020-03-25,FR,1675,46.6164,6.84941,1,0,0,0,0
2020-03-25,VD,1025,46.5121,6.53907,1,0,0,0,1
2020-03-25,GE,1217,46.2322,6.07887,1,1,0,0,0
2020-03-25,GE,1207,46.2058,6.14139,3,0,1,0,0
2020-03-25,GE,1225,46.1974,6.19682,1,0,0,0,0
2020-03-25,VD,1523,46.7643,6.88644,1,0,0,0,0
2020-03-25,VD,1269,46.4894,6.1991,1,0,0,0,0
2020-03-25,FR,3280,46.9359,7.14296,0,0,1,0,0
2020-03-25,VD,1430,46.8077,6.58335,1,0,0,0,0
2020-03-25,VS,1934,46.0671,7.2151,0,0,0,1,0
2020-03-25,FR,1634,46.6913,7.1586,1,0,0,0,0
2020-03-25,VD,1374,46.7004,6.60406,1,0,0,0,0
2020-03-25,VD,1031,46.5729,6.54388,1,0,0,0,0
2020-03-25,VD,1080,46.5682,6.75443,1,0,0,0,0
2020-03-25,ZG,6318,47.1085,8.53265,1,0,0,0,0
2020-03-25,GE,1227,46.1805,6.14507,1,0,1,0,0
2020-03-25,GE,1223,46.2177,6.18528,1,0,0,0,0
2020-03-25,ZH,8102,47.4102,8.46606,1,0,0,0,0
2020-03-25,FR,1773,46.8331,7.02315,3,0,0,0,0
2020-03-25,VD,1028,46.5161,6.529,2,0,0,0,0
2020-03-25,VD,1426,46.8671,6.71738,1,0,0,0,0
2020-03-25,VD,1296,46.3214,6.18889,0,0,1,0,0
2020-03-25,FR,1625,46.6387,6.99049,2,0,0,0,0
2020-03-25,VD,1315,46.6545,6.50475,3,0,0,0,0
2020-03-25,VD,1134,46.5138,6.47359,1,0,0,0,0
2020-03-25,FR,1696,46.7042,7.05586,1,0,0,0,0
2020-03-25,VD,1803,46.4886,6.8216,1,0,0,0,0
2020-03-25,FR,1637,46.5989,7.19983,5,0,0,0,0
2020-03-25,VS,1921,46.0821,7.1003,0,0,1,0,0
2020-03-25,VD,1040,46.6385,6.6352,4,0,0,0,0
2020-03-25,VD,1530,46.8191,6.93474,2,0,0,0,0
2020-03-25,VS,1870,46.2404,6.91518,2,0,0,0,0
2020-03-25,VD,1802,46.471,6.82827,3,0,0,0,0
2020-03-25,VS,1997,46.1361,7.31587,1,0,0,0,0
2020-03-25,VD,1443,46.7835,6.5637,1,0,1,0,0
2020-03-25,GE,1253,46.219,6.20349,1,0,0,0,0
2020-03-25,VD,1804,46.4944,6.871,1,0,0,0,0
2020-03-25,VD,1113,46.5462,6.49042,1,0,0,0,0
2020-03-25,ZH,8134,47.3094,8.52135,1,0,0,0,0
2020-03-25,VD,1098,46.4951,6.74623,1,0,0,0,0
2020-03-25,TI,6982,46.0002,8.90016,1,0,0,0,0
2020-03-25,VD,1815,46.4409,6.8908,1,0,1,0,0
2020-03-25,FR,1638,46.6236,7.08631,1,0,0,0,0
2020-03-25,VD,1610,46.5619,6.80532,1,0,0,0,0
2020-03-25,VD,1543,46.8738,6.93212,0,0,0,0,1
2020-03-25,VD,1410,46.7039,6.75892,1,0,0,0,0
2020-03-25,VD,1412,46.7345,6.66598,1,0,0,0,0
2020-03-25,JU,2900,47.4213,7.07101,1,0,0,0,0
2020-03-25,VD,1822,46.4435,6.91138,1,0,0,0,0
2020-03-25,VD,1337,46.7079,6.3714,1,0,0,0,0
2020-03-25,VD,1180,46.4576,6.33156,1,0,0,0,0
2020-03-25,FR,1670,46.624,6.85155,1,0,0,0,0
2020-03-25,VS,1938,46.0363,7.11306,1,0,0,0,0
2020-03-25,ZH,8037,47.397,8.52301,1,0,0,0,0
2020-03-25,GE,1257,46.1432,6.1137,1,0,0,0,0
2020-03-25,FR,1633,46.6562,7.04973,2,0,0,0,0
2020-03-25,GE,1200,46.2058,6.14139,0,1,1,0,0
2020-03-25,VD,1880,46.2556,7.08897,1,0,0,0,0
2020-03-25,VS,1971,46.256,7.38086,1,0,0,0,0
2020-03-25,VD,1070,46.5086,6.7841,0,0,1,0,0
2020-03-25,VS,1955,46.215,7.19706,2,0,0,0,0
2020-03-25,VD,1423,46.8426,6.63501,0,0,0,0,1
2020-03-25,VD,1115,46.5731,6.47738,1,0,0,0,0
2020-03-25,ZH,8005,47.3828,8.53081,2,0,0,0,0
2020-03-25,GE,1222,46.2314,6.19961,1,0,0,0,0
2020-03-25,BE,2603,47.1987,7.26331,1,0,0,0,0
2020-03-25,FR,1669,46.483,7.0536,1,0,0,0,0
2020-03-25,VD,1845,46.383,6.89613,1,0,0,0,0
2020-03-25,VD,1354,46.734,6.51209,1,0,0,0,0
2020-03-25,VD,1303,46.5988,6.54128,1,0,0,0,0
2020-03-25,FR,1627,46.6147,6.98626,1,0,0,0,0
2020-03-25,VS,1890,46.1981,7.00949,1,0,0,0,0
2020-03-25,VD,1082,46.601,6.73034,1,0,0,0,0
2020-03-25,VD,1083,46.5863,6.76087,1,0,0,0,0
2020-03-25,VD,1035,46.6087,6.56391,1,0,0,0,0
2020-03-25,VS,1896,46.336,6.84917,2,0,0,0,0
2020-03-25,VD,1278,46.3902,6.12006,1,0,0,0,0
2020-03-25,FR,1754,46.7812,7.0963,1,0,0,0,0
2020-03-25,VD,1297,46.3365,6.18488,1,0,0,0,0
2020-03-25,FR,1628,46.6084,7.00471,3,0,0,0,0
2020-03-25,JU,2350,47.2458,7.01999,1,0,0,0,0
2020-03-25,ZH,8003,47.3771,8.53955,1,0,0,0,0
2020-03-25,VD,1317,46.6673,6.53565,1,0,0,0,0
2020-03-25,NE,2074,47.0093,7.0121,1,0,0,0,0
2020-03-25,GE,1228,46.1639,6.11884,1,0,0,0,0
2020-03-25,VD,1607,46.5491,6.83525,1,0,0,0,0
2020-03-25,VS,1872,46.2328,6.88523,1,0,0,0,0
2020-03-25,VD,1073,46.5489,6.72701,0,0,1,0,0
2020-03-25,FR,1782,46.8287,7.09504,1,0,0,0,0
2020-03-25,GE,1288,46.1862,6.04195,1,0,0,0,0
2020-03-25,GE,1209,46.2058,6.14139,1,0,0,0,0
2020-03-25,VD,1011,46.5254,6.64295,0,0,1,0,0
2020-03-25,BE,3012,46.9482,7.44001,2,0,0,0,0
2020-03-25,VD,1304,46.5992,6.48466,1,0,0,0,0
2020-03-25,VD,1347,46.6202,6.23343,0,0,0,1,0
2020-03-25,ZH,8006,47.3771,8.53955,2,0,0,0,0
2020-03-25,VS,1920,46.1072,7.08083,1,0,0,0,0
2020-03-25,VS,1926,46.1575,7.11174,1,0,0,0,0
2020-03-25,VS,1941,46.0922,7.15627,1,0,0,0,0
2020-03-25,ZH,8050,47.3828,8.53081,0,1,0,0,0
2020-03-25,VS,1965,46.3093,7.31139,1,0,0,0,0
2020-03-25,FR,1757,46.8022,7.03655,1,0,0,0,0
